Story,Works with,No.of actions,Author
"Analyze phishing email senders, URLs, & attachments","EmailRep, Sublime Security, URLScan.io, VirusTotal",51,null
Analyze CrowdStrike detections,"CrowdStrike, Jira Software, Slack, VirusTotal",13,null
Analyze a file in VirusTotal,VirusTotal,21,null
Analyze and triage suspicious emails with various tools,"CrowdStrike, EmailRep, Jira Software, NextDNS, URLScan.io, VirusTotal",59,Michael Tolan
Add form data to Google Sheets,Google Sheets,3,null
Create AI powered tools in Tines,OpenAI,10,null
Analyze domains through multiple sources,"URLScan.io, VirusTotal",16,null
Run provided searches in Splunk,Splunk,12,null
Bootcamp - Tines Fundamentals,null,0,null
Process and search documents in Pinecone with Tines,Pinecone,31,Michael Tolan
Escalate a case between groups with an audit trail,Tines,11,Nick Winninger
Summarize a case in Tines with the AI Agent Action,Tines,5,Nick Winninger
Investigate AWS issues with CLI data using agents,"AWS, Tines",14,Michael Tolan
Process and handle Slack callbacks with various methods,Slack,48,Audrey Kwong
Analyze Astrix alerts with AI and post to Notion,"Astrix, Notion",6,Alon Berger
Enrich cases with Azure Log Analytics using agents,"Microsoft Azure, Tines",13,Michael Tolan
Triage alerts with agents using SOPs in Confluence,"AbuseIPDB, Confluence, CrowdStrike, EmailRep, Okta, Slack, Tavily, Tines, URLScan.io, VirusTotal",8,Pete Wrenn
Write and improve AI prompts with an AI chatbot,Tavily,1,Michael Tolan
Update Slack Status based on Zoom Meetings,"Slack, Zoom",7,Sabrina de Silva
Interact with case management systems using chat agents,"BambooHR, Jira Software",3,Conor Dunne
Process and search documents in Elasticsearch with an agent,"Elastic, Tavily",30,Michael Tolan
Perform deep research on a topic using an agent with Tavily,Tavily,5,null
Onboard new BambooHR starters using an agent,"BambooHR, Jira Software, Okta, Slack",7,Conor Dunne
Troubleshoot broken Tines actions using an AI Agent chatbot,"Microsoft Teams, Slack, Tavily, Tines",14,Michael Tolan
Use the AI Agent Action to review GitHub pull requests,GitHub,6,Conor O'Donnell
Respond to alerts from various tools with the AI Agent Action,"CrowdStrike, SentinelOne",13,Conor Dunne
Remove employee access from multiple services using the AI Agent Action,"Gmail, Okta, Slack",4,Conor Dunne
Use AI to Create Tines Case from Anvilogic Alerts,Anvilogic,25,null
Restricting User Access and Patching Vulnerable Devices with Kandji,"Kandji, Okta, Slack, Tines",33,Megan Elsayed
AI Event Triage with Anvilogic Copilot,Anvilogic,21,Chris Burkhart
AI Entity Enrichment with Anvilogic Copilot,Anvilogic,20,Chris Burkhart
Monitor Zendesk tickets for SLA breaches and alert in Slack and PagerDuty,"PagerDuty, Slack, Zendesk",11,Hrishikesh Kokate
Search the internet with Tavily via Slack,"Slack, Tavily",4,Michael Tolan
Enrich new Airtable company records using Tavily searches,"Airtable, Tavily",17,Michael Tolan
Offboard user from Okta and Google using Pages and Records,"Gmail, Google, Okta",72,Lucas Cantor
Cleanup Microsoft Outlook inbox with Tines AI,"Microsoft, Microsoft Outlook",47,Michael Lynn
Game Picker - a mini web app for choosing a game to play,RAWG,153,Jarrin Sacayanan
Schedule Manager with Tines,null,116,Eoin Magner
Manage RSS and YouTube subscriptions via Tines and notify on new releases,"Discord, Slack",42,Tyler Wong
Alert and remediate public Tines pages,null,25,Haley Kidd
EDgaR - the EDR audit and asset discovery utility,CrowdStrike,76,Tom Power
Triage Material Security cases via Slack,"Jira Software, Material Security, Slack, Tines, VirusTotal",27,Shasheen Bandodkar
Tag Outlook Emails in a Folder Based on VirusTotal Scan Results,"Microsoft Outlook, VirusTotal",8,Sabrina de Silva
Isolate Machines in Cybereason from Thinkst Canary Alerts,"Cybereason, Thinkst Canary",24,Shaun Finn
Handle a suspicious login with a response timeout,Microsoft Azure,9,Emily Nguyen
Streamline macOS software updates with self-service patch management and AI,"Jamf Pro, Slack",63,Tyler Talaga
Manage Qualys vulnerabilities using Jira Service Management and Slack,"Jamf Pro, Jira Service Management, Qualys, Slack, Tines",81,Caleb Williams
Correlate Rapid7 vulnerability data across various tools and report in Jira,"Jira Software, Manage Engine, Orca Security, Rapid7",125,Emily Nguyen
Microsoft Teams Vulnerability Scanner and Responder,"Microsoft Teams, Tenable Vulnerability Management",30,Michael Snow
Create and use temporary credentials in AWS using Assume Role,"AWS, Tines",4,Kelsey Salman
Reserve IPs for new hosts in Infoblox NIOS,Infoblox,13,Sif Baksh
Investigate Phishing emails with Proofpoint CLEAR and Tines,"Proofpoint, URLScan.io, VirusTotal",86,John Vasanth
